order_item_id,order_id,product_id,quantity,unit_price
1,1001,101,2,25.00
2,1001,103,1,75.00
3,1002,102,1,35.00
4,1002,105,3,50.00
5,1003,104,1,120.00
6,1004,101,4,25.00
7,1004,106,2,45.00
8,1005,103,1,75.00
9,1006,102,2,35.00
10,1007,105,1,50.00
11,1007,101,2,25.00
12,1008,104,1,120.00
13,1008,106,1,45.00
14,1009,101,3,25.00
15,1009,103,1,75.00
16,1010,102,2,35.00
17,1011,105,2,50.00
18,1011,104,1,120.00
19,1012,106,3,45.00
20,1013,101,1,25.00
21,1013,103,2,75.00
22,1014,102,1,35.00
23,1014,104,1,120.00
24,1015,105,2,50.00
25,1016,101,5,25.00
26,1016,106,1,45.00
27,1017,103,2,75.00
28,1018,102,1,35.00
29,1018,101,2,25.00
30,1019,104,1,120.00
31,1019,105,1,50.00
32,1020,106,2,45.00
33,1020,103,1,75.00
34,1021,101,1,25.00
35,1021,102,3,35.00
36,1022,104,1,120.00
37,1023,105,2,50.00
38,1023,106,1,45.00
39,1024,101,2,25.00
40,1024,103,1,75.00
41,1025,102,2,35.00
42,1025,104,1,120.00
