order_id,customer_id,order_date,status
1001,1,2024-03-01,completed
1002,2,2024-03-05,completed
1003,1,2024-03-15,completed
1004,3,2024-04-01,completed
1005,4,2024-04-10,completed
1006,2,2024-04-20,returned
1007,5,2024-05-01,completed
1008,6,2024-05-15,completed
1009,3,2024-06-01,completed
1010,7,2024-06-10,completed
1011,1,2024-06-20,completed
1012,8,2024-07-01,completed
1013,4,2024-07-15,returned
1014,9,2024-07-25,completed
1015,2,2024-08-01,completed
1016,10,2024-08-10,completed
1017,5,2024-08-20,completed
1018,3,2024-09-01,completed
1019,6,2024-09-10,completed
1020,1,2024-09-20,completed
1021,7,2024-10-01,completed
1022,8,2024-10-15,cancelled
1023,9,2024-10-25,completed
1024,10,2024-11-01,completed
1025,2,2024-11-15,completed
